categ,codigo,descripcion,pub,psv,psc
MP,[2220P-01],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Dorado,180,1,1
MP,[2220P-02],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Durazno,180,1,1
MP,[2220P-03],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Bronce,180,1,1
MP,[2220P-04],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Terracota,180,1,1
MP,[2220P-05],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Rosado Intenso,180,1,1
MP,[2220P-06],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Rosa Beb{e,180,1,1
MP,[2220P-07],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Rosa Tornasol Oro,180,1,1
MP,[2220P-08],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Piel Rosado Intenso,180,1,1
MP,[2220P-09],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Rojizo Pálido,180,1,1
MP,[2220P-10],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Coral Rojizo,180,1,1
MP,[2220P-11],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Fucsia con perla translucido,180,1,1
MP,[2220P-12],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Tornasol Plata,180,1,1
MP,[2220P-13],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Tornasol Oro,180,1,1
MP,[2220P-14],Rubor Cremoso Pro Multifunción para ojos-pómulos-labios (Repuesto) Tornasol Fucsia,180,1,1
MP,[2301P-01],Polvo Volátil Pro Mineral Marfil,360,1,1
MP,[2301P-02],Polvo Volátil Pro Mineral Beige  Rosado,360,1,1
MP,[2320P-01],Polvo Volátil  Pro Universal HD - (Art. Individual 2300P-01) Blanco Universal  PACK 2 UNIDADES,850,,1
MP,[2321P-02],Polvo Volátil Mate Pro Pigmento Puro Verde,165,1,1
MP,[2321P-06],Polvo Volátil Mate Pro Pigmento Puro Amarillo,165,1,1
MP,[2321P-08],Polvo Volátil Mate Pro Pigmento Puro Celeste,165,1,1
MP,[2321P-09],Polvo Volátil Mate Pro Pigmento Puro Africano,165,1,1
MP,[2330P-01],Polvo Volátil Iridiscente Pro Oro,230,1,1
MP,[2330P-02],Polvo Volátil Iridiscente Pro Plata,230,1,1
MP,[2331P-01],Polvo Volátil Pro Mineral Tonalizador Satinado Durazno,400,1,1
MP,[2331P-02],Polvo Volátil Pro Mineral Tonalizador Satinado Tostado,400,1,1
MP,[2510P-],Pre Base Para Labios  Cristal HD,270,1,1
MP,[2541P-00],Brillo Labial Pro  (Art. Individual 2540P-00) Laca Cristal    PACK 3 UNIDADES,650,,1
MP,[2541P-01],Brillo Labial Pro  (Art. Individual 2540P-01) Laca Tinta Roja PACK 3 UNIDADES,650,,1
MP,[2541P-02],Brillo Labial Pro  (Art. Individual 2540P-02) Laca Gloss Ultraliviano  PACK 3 UNIDADES,650,,1
MP,[2550P-01],Pigmentador para labios Pro (Art. Individual 1550P-01) Fucsia  PACK 4 UNIDADES,817,,1
MP,[2550P-02],Pigmentador para labios Pro  (Art. Individual 1550P-02) Anaranjado PACK 4 UNIDADES,817,,1
MP,[2550P-03],Pigmentador para labios Pro  (Art. Individual 1550P-03) Coral  PACK 4 UNIDADES,817,,1
MP,[2550P-04],Pigmentador para labios Pro  (Art. Individual 1550P-04) Nude  PACK 4 UNIDADES,817,,1
MP,[2550P-05],Pigmentador para labios Pro  (Art. Individual 1550P-05) ROJO  PACK 4 UNIDADES,817,,1
MP,[2600P-00],Mascara para Pestañas Base Extensora Pro Base Blanca Extensora,300,1,1
MP,[2610P-01],Mascara para Pestañas a Prueba de Agua  Negro,245,1,1
MP,[2610P-02],Mascara para Pestañas a Prueba de Agua  Azul,245,1,1
MP,[2610P-03],Mascara para Pestañas a Prueba de Agua Marrón,245,1,1
MP,[2801P-00],Maquillaje Hidratante Siliconado Pro  Marfil Extra Claro.,575,1,1
MP,[2801P-01],Maquillaje Hidratante Siliconado Pro  Marfil,575,1,1
MP,[2801P-02],Maquillaje Hidratante Siliconado Pro  Caramelo,575,1,1
MP,[2801P-03],Maquillaje Hidratante Siliconado Pro  Tostado,575,1,1
MP,[2802P-01],Base de Maquillaje Siliconado Blur Efecto Photoshop Claro,550,1,1
MP,[2802P-02],Base de Maquillaje Siliconado Blur Efecto Photoshop Medio,550,1,1
MP,[2802P-03],Base de Maquillaje Siliconado Blur Efecto Photoshop Oscuro,550,1,1
MP,[2810P-01],Maquillaje Líquido Pro Neutro  Beige Neutro,375,1,1
MP,[2811P-01],Maquillaje Líquido Pro Pigmento Puro Blanco,275,1,1
MP,[2811P-02],Maquillaje Líquido Pro Pigmento Puro Verde,275,1,1
MP,[2811P-03],Maquillaje Líquido Pro Pigmento Puro Salmón,275,1,1
MP,[2811P-04],Maquillaje Líquido Pro Pigmento Puro Anaranjado,275,1,1
MP,[2811P-05],Maquillaje Líquido Pro Pigmento Puro Beige Rosado,275,1,1
MP,[2811P-06],Maquillaje Líquido Pro Pigmento Puro Amarillo,275,1,1
MP,[2811P-07],Maquillaje Líquido Pro Pigmento Puro Lila,275,1,1
MP,[2811P-08],Maquillaje Líquido Pro Pigmento Puro Celeste,275,1,1
MP,[2811P-09],Maquillaje Líquido Pro Pigmento Puro Marrón Africano,275,1,1
MP,[2812P-00],Maquillaje Corrector Hidratante Siliconado Pro Beige Claro.,265,1,1
MP,[2812P-01],Maquillaje Corrector Hidratante Siliconado Pro Beige Neutro,265,1,1
MP,[2813P-],Corrector  optico HDF,315,1,1
MP,[2852P-],Base Nude Iluminadora,475,1,1
MP,[2900P],Set para diseño de Cejas (Art. 2912P-01 + Art. 1641),682,1,1
MP,[2901P-01],Delineador en gel Pro  ( Art. Individual 1911P-01) Negro    PACK 4 UNIDADES,890,,1
MP,[2901P-02],Delineador en gel Pro  ( Art. Individual 1911P-02) Azul   PACK 4 UNIDADES,890,,1
MP,[2911P-01],Sombra Cremosa Pro ( Art. Individual 2910P-01) Negro PACK 3 UNIDADES,800,,1
MP,[2911P-03],Sombra Cremosa Pro  ( Art. Individual 2910P-03) Marrón  PACK 3 UNIDADES,800,,1
MP,[2912P-01],Sombra Cremosa Duo  Pro HD -Pomada para Cejas,420,,
MP,[2921P-00],Delineador Líquido Pro Tinta -( Art. Individual 2920P-00 ) Blanco  PACK 3 UNIDADES,440,,1
MP,[2921P-01],Delineador Líquido Pro Tinta ( Art. Individual 2920P-01 ) Negro  PACK 3 UNIDADES,440,,1
MP,[300],Catálogo de productos con Precios   (Art. Individual 301)  PACK 10 UNIDADES,250,,1
MP,[3003P],PALETAS PRO- Juego de 3 Paletas Kit Escuela 61 tonos 1003P- 1106P - 1501P    NUEVA COMBINACION,4800,1,1
MP,[3004P],PALETAS PRO- Juego de 3 Paletas Kit Escuela42 tonos 1102P - 1103P- 1104P,4800,1,1
MP,[3005P],PALETAS PRO- Juego de 3 Paletas Kit Escuela 45 tonos 1107P - 1108P- 1221P  NUEVA,4800,1,1
MP,[401],"Bolsas Ecológicas  de 30x38 cm. de Friselina con  Manijas y Logo    PACK 10 UNIDADES 
   (Art. Individual 410) ",170,,1
MP,[402],"Bolsas Ecológicas  de 15x20 cm. de Friselina  y Logo    PACK 10 UNIDADES
   (Art. Individual 411) ",40,,1
P20A,[1007E],"Paleta Visagismo  y  Neutralizadores.
Paleta con 14 unidades x 6gr. c/u NUEVO",1105,1,1
P20A,[1218E],"Paleta Especial de Luz y Contornos (Cartuchera con 4 Polvos compactos)
Incluye Brocha de retoque  NUEVO",830,1,1
P20A,[1520E.01],"Labial Vitamina Apto HD  ""Rosa Suave""
Envase cristal x 3,5gr.",175,1,1
P20A,[1520E.02],"Labial Vitamina Apto HD ""Granada""
Envase cristal x 3,5gr.",175,1,1
P20A,[1520E.03],"Labial Vitamina Apto HD ""Coral""
Envase cristal x 3,5gr.",175,1,1
P20A,[1520E.04],"Labial Vitamina Apto HD ""Ciruela""  Hasta agotar stock
Envase cristal x 3,5gr.",175,1,1
P20A,[1801E],"Base de Maquillaje HD (rostro y cuerpo) - Hasta agotar stock
Pomo x 25gr.",300,1,1
P20A,[2003E],Paleta Especial Cejas (Cartuchera con 6 sombras compactas)  NUEVO,1080,1,1
P20A,[2017E],Kit Pro Acrílico para Mezclas  (Soporte / Espátula),325,1,1
P20A,[2017P],Paleta Pro para Mezclas (Soporte Acrilico Cristal Circular)  Sin Espátula- NUEVO,165,1,1
P20A,[2019Z],Catuchera vacía imantada -  para  todas las medidas de repuestos .,195,1,1
P20A,[2550E.01],"Pack de Pigmentadores para Labios - Colores: 08 Obispo / 09  Rojo Vibrante  
2 Potes x 4gr. c/u",335,,1
P20A,[2550E.02],"Pack de Pigmentadores para Labios - Colores: 06 Violeta /07 Marsala
2 Potes x 4gr. c/u",335,,1
P20A,[2800E],"Set de Pigmentos Líquidos con Soporte Acrilico y espátula para mezclas .
5 botellas x 6gr. c/u",515,1,1
MP,[1550P-01],Pigmentador para labios Pro Fucsia,215,1,
MP,[1550P-02],Pigmentador para labios Pro Anaranjado,215,1,
MP,[1550P-03],Pigmentador para labios Pro Coral,215,1,
MP,[1550P-04],Pigmentador para labios Pro Nude,215,1,
MP,[1550P-05],Pigmentador para labios Pro ROJO,215,1,
MP,[1911P-01],Delineador en gel Pro Negro ,240,1,
MP,[1911P-02],Delineador en gel Pro Azul,240,1,
MP,[2000P-01],Tonalizador Correctivo Pro Blanco,190,1,
MP,[2000P-02],Tonalizador Correctivo Pro Verde,190,1,
MP,[2000P-03],Tonalizador Correctivo Pro Salmon,190,1,
MP,[2000P-04],Tonalizador Correctivo Pro Anaranjado,190,1,
MP,[2000P-05],Tonalizador Correctivo Pro Beige  rosado,190,1,
MP,[2000P-06],Tonalizador Correctivo Pro Amarillo,190,1,
MP,[2000P-07],Tonalizador Correctivo Pro Lila,190,1,
MP,[2000P-08],Tonalizador Correctivo Pro Celeste,190,1,
MP,[2000P-09],Tonalizador Correctivo Pro Marron Africano,190,1,
MP,[2000P-10],Tonalizador Correctivo Pro Negro ,190,1,
MP,[2000P-11],Tonalizador Correctivo Pro Beige Amarillento,190,1,
MP,[2000P-12],Tonalizador Correctivo Pro Beige Grisado,190,1,
MP,[2000P-13],Tonalizador Correctivo Pro Beige Verdoso,190,1,
MM,[2020],Petaca Vacía para 1 Repuesto de 37mm. ,90,1,
MP,[2110P-00],Pre-Base para párpados Pro HD Natural,,1,
MP,[2300P-01],Polvo Volátil  Pro Universal HD Blanco Universal,450,1,
MP,[2540P-00],Brillo Labial Pro Laca Cristal,320,1,
MP,[2540P-01],Brillo Labial Pro Laca Tinta Roja,320,1,
MP,[2540P-02],Brillo Labial Pro Laca Gloss Ultraliviano,320,1,
MP,[2910P-01],Sombra Cremosa Pro Negro,275,1,
MP,[2910P-03],Sombra Cremosa Pro Marrón,275,1,
MP,[2920P-00],Delineador Líquido Pro Tinta Blanco,160,1,
MP,[2920P-01],Delineador Líquido Pro Tinta Negro,160,1,
MP,[301],Catálogo de productos con Precios ,25,1,
P20A,[2550E.08],Pack de Pigmentadores para Labios - 08 Obispo 4gr. ,215,1,
P20A,[2550E.09],Pack de Pigmentadores para Labios - 09  Rojo Vibrante 4gr. ,215,1,
P20A,[2550E.06],Pack de Pigmentadores para Labios - 06 Violeta 4gr. ,215,1,
P20A,[2550E.07],Pack de Pigmentadores para Labios - 07 Marsala 4gr. ,215,1,
