<>1110-CHS,Sombra Compacta (Repuesto) Champagne Satinado,150,MM
<>1110-F01,Sombra Compacta (Repuesto) Sandia Intenso Mate,150,MM
<>1110-F02,Sombra Compacta (Repuesto) Fucsia Mate,150,MM
<>1110-F03,Sombra Compacta (Repuesto) Fucsia Intenso Mate,150,MM
<>1110-F05,Sombra Compacta (Repuesto) Anaranjado Coral Mate,150,MM
<>1110-F06,Sombra Compacta (Repuesto) Fucsia Intenso Satinado,150,MM
<>1110-F07,Sombra Compacta (Repuesto) Mostaza Satinado,150,MM
<>1110-F08,Sombra Compacta (Repuesto) Dorado Satinado  ,150,MM
<>1110-F09,Sombra Compacta (Repuesto) Petróleo Intenso Satinado,150,MM
<>1110-F10,Sombra Compacta (Repuesto) Verde pastel mate,150,MM
<>1110-F11,Sombra Compacta (Repuesto) Amarillo Intenso Mate,150,MM
<>1110-F12,Sombra Compacta (Repuesto) Azul Ciel Mate  ,150,MM
<>1110-GRS,Sombra Compacta (Repuesto) Gris Satinado,150,MM
<>1110-LIS,Sombra Compacta (Repuesto) Limón Satinado,150,MM
<>1110-P01,Sombra Compacta (Repuesto) Negro Mate,150,MM
<>1110-P02,Sombra Compacta (Repuesto) Blanco Mate,150,MM
<>1110-P03,Sombra Compacta (Repuesto) Amarillo Mate,150,MM
<>1110-P05,Sombra Compacta (Repuesto) Azul Intenso Mate    ,150,MM
<>1110-P06,Sombra Compacta (Repuesto) Azul Eléctrico Satinado ,150,MM
<>1110-P07,Sombra Compacta (Repuesto) Violeta Mate,150,MM
<>1110-P08,Sombra Compacta (Repuesto) Lila Satinado,150,MM
<>1110-P09,Sombra Compacta (Repuesto) Verde Mate,150,MM
<>1110-P10,Sombra Compacta (Repuesto) Verde Satinado,150,MM
<>1110-P11,Sombra Compacta (Repuesto) Anaranjado intenso semimate  ,150,MM
<>1110-P12,Sombra Compacta (Repuesto) Anaranjado Satinado,150,MM
<>1110-R01,Sombra Compacta (Repuesto) Gris Tiza c/ Perla Plata,150,MM
<>1110-R02,Sombra Compacta (Repuesto) Gris Acero c/ Perla Plata,150,MM
<>1110-R03,Sombra Compacta (Repuesto) Blanco c/ Perla Plata,150,MM
<>1110-R05,Sombra Compacta (Repuesto) Negro Réflex,150,MM
<>1110-R06,Sombra Compacta (Repuesto) Petróleo Intenso Réflex,150,MM
<>1110-S01,Sombra Compacta (Repuesto) Rojo granate metalizado,150,MM
<>1110-S02,Sombra Compacta (Repuesto) Oro claro metalizado,150,MM
<>1110-S03,Sombra Compacta (Repuesto) Violeta amatista metalizado,150,MM
<>1110-S04,Sombra Compacta (Repuesto) Azul zafiro metalizado,150,MM
<>1110-S05,Sombra Compacta (Repuesto) Verde esmeralda metalizado,150,MM
<>1110-S06,Sombra Compacta (Repuesto) Rosa tornasol metalizado,150,MM
<>1110-S07,Sombra Compacta (Repuesto) Cobre metalizado,150,MM
<>1110-S08,Sombra Compacta (Repuesto) Lila tornasol metalizado,150,MM
<>1110-S09,Sombra Compacta (Repuesto) Dorado oliva metalizado,150,MM
<>1110-S10,Sombra Compacta (Repuesto) Plata Metalizado,150,MM
<>1110-TUS,Sombra Compacta (Repuesto) Turquesa Satinado Intenso,150,MM
<>1111-T01,Sombra Compacta Pro Tratante (Repuesto) Beige Rosado Tornasol Satinado,150,MP
<>1111-T02,Sombra Compacta Pro Tratante (Repuesto) Rosa Satinado,150,MP
<>1111-T03,Sombra Compacta Pro Tratante (Repuesto) Obispo Tornasol Satinado,150,MP
<>1111-T04,Sombra Compacta Pro Tratante (Repuesto) Azul Intenso Satinado ,150,MP
<>1111-T05,Sombra Compacta Pro Tratante (Repuesto) Verde  Oliva Satinado,150,MP
<>1111-T06,Sombra Compacta Pro Tratante (Repuesto) Durazno  Satinado ,150,MP
<>1111-T07,Sombra Compacta Pro Tratante (Repuesto) Cobre intenso Tornasol Satinado   ,150,MP
<>1111-T08,Sombra Compacta Pro Tratante (Repuesto) Verde Claro  Satinado,150,MP
<>1111-T09,Sombra Compacta Pro Tratante (Repuesto) Fucsia chicle tornasol  Satinado,150,MP
<>1111-T10,Sombra Compacta Pro Tratante (Repuesto) Negro Mate   ,150,MP
<>1111-T11,Sombra Compacta Pro Tratante (Repuesto) Blanco Mate ,150,MP
<>1111-T12,Sombra Compacta Pro Tratante (Repuesto) Negro con perla oro ,150,MP
<>1111-T13,Sombra Compacta Pro Tratante (Repuesto) Arena  tornasol Satinado ,150,MP
<>1111-T14,Sombra Compacta Pro Tratante (Repuesto) Dorado Cobrizo Tornasol Satinado ,150,MP
<>1111-T15,Sombra Compacta Pro Tratante (Repuesto) Bronce Tornasol Satinado,150,MP
<>1111-T16,Sombra Compacta Pro Tratante (Repuesto) Marrón  Tornasol  Satinado,150,MP
<>1111-T17,Sombra Compacta Pro Tratante (Repuesto) Amarillo C Haro semi mate ,150,MP
<>1111-T18,Sombra Compacta Pro Tratante (Repuesto) Anaranjado Claro  Tornasol Satinado,150,MP
<>1111-T19,Sombra Compacta Pro Tratante (Repuesto) Blanco dorado Tornasol Satinado,150,MP
<>1111-T20,Sombra Compacta Pro Tratante (Repuesto) Oro Verdoso Tornasol  Satinado,150,MP
<>1111-T21,Sombra Compacta Pro Tratante (Repuesto) Dorado Claro Satinado,150,MP
<>1111-T22,Sombra Compacta Pro Tratante (Repuesto) Bronce Oliva Tornasol Satinado,150,MP
<>1111-T24,Sombra Compacta Pro Tratante (Repuesto) Rosa Pálido  Satinado,150,MP
<>1111-T25,Sombra Compacta Pro Tratante (Repuesto) Salmón Tornasol Satinado ,150,MP
<>1111-T26,Sombra Compacta Pro Tratante (Repuesto) Celeste Tornasol Satinado,150,MP
<>1111-T27,Sombra Compacta Pro Tratante (Repuesto) Rojizo nácar,150,MP
<>1111-T28,Sombra Compacta Pro Tratante (Repuesto) Lila Claro semi mate,150,MP
<>1111-T29,Sombra Compacta Pro Tratante (Repuesto) Rosa violáceo semi mate,150,MP
<>1111-T30,Sombra Compacta Pro Tratante (Repuesto) Morado tornasol satinado,150,MP
<>1111-T31,Sombra Compacta Pro Tratante (Repuesto) Beige anaranjado mate,150,MP
<>1111-T32,Sombra Compacta Pro Tratante (Repuesto) Dulce de leche semi mate ,150,MP
<>1111-T33,Sombra Compacta Pro Tratante (Repuesto) Marrón profundo agrisado semi mate,150,MP
<>1111-T34,Sombra Compacta Pro Tratante (Repuesto) Oro viejo Tornasol,150,MP
<>1111-T35,Sombra Compacta Pro Tratante (Repuesto) Azul profundo tornasolado,150,MP
<>1111-T36,Sombra Compacta Pro Tratante (Repuesto) Rosa Pastel Semi mateSombra Compacta Pro Tratante (Repuesto)  ,150,MP
<>1111-T37,Sombra Compacta Pro Tratante (Repuesto) Marfil MateSombra Compacta Pro Tratante (Repuesto)  ,150,MP
<>1111-T38,Sombra Compacta Pro Tratante (Repuesto) Nude Semi mateSombra Compacta Pro Tratante (Repuesto)  ,150,MP
<>1111-T39,Sombra Compacta Pro Tratante (Repuesto) Habano Claro mateSombra Compacta Pro Tratante (Repuesto)  ,150,MP
<>1111-T40,Sombra Compacta Pro Tratante (Repuesto) Chocolate MateSombra Compacta Pro Tratante (Repuesto)    ,150,MP
<>1111-T41,Sombra Compacta Pro Tratante (Repuesto) Gris mate   !!,150,MP
